Plate 1: cols 1-6,Plate 1: cols 7-12,Plate 2: cols 1-6,Plate 2: cols 7-12,A: Ladder
22.71058,30.32392,13.45067,11.29258,40.13748
22.55159,29.77924,13.35219,11.04503,37.05803
22.25276,29.34059,13.26065,10.91299,35.27403
21.97357,28.90867,13.16129,10.85369,34.26946
21.74078,28.44119,13.08195,10.81797,33.61629
21.50523,27.94634,12.79685,10.73415,32.72703
21.43154,27.68178,12.62565,10.73065,31.8765
21.11542,27.35065,12.52346,10.66234,31.12365
20.80721,27.16439,12.4429,10.56887,30.38464
20.64078,27.10079,12.32265,10.56611,29.50414
20.44423,26.8624,12.22738,10.39907,28.6654
20.09573,26.40824,12.06067,10.25288,27.86329
19.72825,25.95127,11.92113,10.10853,27.08165
19.35647,25.60547,11.87892,9.965278,26.28765
18.97594,25.42608,11.84772,9.871058,25.38433
18.64094,25.39996,11.7222,9.787709,24.65057
18.44253,24.88145,11.61392,9.719708,24.00183
18.26371,24.42206,11.51213,9.644944,23.45444
18.11785,24.15437,11.38585,9.537656,23.04614
18.14783,24.05761,11.32802,9.533574,22.87544
17.92424,23.88045,11.29477,9.431913,22.96908
17.88756,24.00338,11.22078,9.337552,23.18298
