A1: Ladder,"B1: Library 1, with own oligos","C1: Library 2, with NXT oligos","D1: Library 3, without enrichment"
208.8577,10.06465,8.788777,2.286211
160.3101,9.467121,8.862906,2.074838
124.431,9.092303,8.59189,1.820576
100.1629,8.6413,8.280862,1.668062
84.1517,8.500459,7.925457,1.613386
73.61487,8.554769,7.518121,1.623515
66.76633,8.45842,7.135655,1.7075
62.42761,8.358577,6.831369,1.856424
58.4287,7.865208,6.549775,1.917545
55.95295,7.588479,6.251439,1.997251
53.58784,7.47714,6.132082,1.869887
51.57916,7.113358,6.311181,1.854637
49.82359,6.786922,6.115547,1.801171
48.00174,6.555411,5.904022,1.761779
45.86545,6.251758,5.703421,1.783911
43.71045,6.19232,5.423103,1.785905
41.15406,6.05123,5.218882,1.7487
38.89677,5.936719,4.980037,2.043423
36.70885,5.613605,4.698031,2.236849
34.52001,5.207635,4.486003,2.287023
32.58579,5.137749,4.294039,2.362751
31.2439,5.089397,4.017953,2.287133
29.57999,5.158077,3.880739,2.067559
28.47573,5.027313,3.962756,1.879552
27.67199,4.677336,3.84362,1.807925
27.36632,4.423563,3.913113,1.725582
27.18189,4.307539,4.02683,1.546541
26.73083,4.075493,4.116192,1.485185
26.12607,3.904991,4.073839,1.528488
25.61465,4.034247,4.002521,1.494236
25.0526,4.044017,3.899655,1.339108
24.67039,3.915764,3.65826,1.318844
24.45736,3.759315,3.386573,1.344057
24.34938,3.831067,3.415404,1.21312
24.42084,3.412354,3.679579,1.088485
24.91723,3.035591,3.537615,1.369488
25.34307,3.122162,3.56783,1.386743
25.79473,3.300637,3.558065,1.586511
26.39657,3.364797,3.631563,1.82594
27.0513,3.59401,3.660729,1.883493
27.61283,4.043062,3.671979,1.791147
28.12991,4.140802,3.601828,1.6685
28.97409,3.96934,3.336161,1.617008
29.92473,3.786085,3.119832,1.609937
32.2388,3.790367,3.064699,1.431913
35.28157,3.749721,2.865428,1.417762
40.5024,3.841133,2.691491,1.420867
48.43796,3.925169,2.430076,1.135177
59.4746,3.864126,2.278346,1.085162
75.73303,3.822658,2.281314,1.124674
103.0679,3.879287,2.328053,1.084874
147.3732,3.83812,2.399826,0.9787245
208.142,3.776053,2.433024,0.9005985
287.4033,3.400644,2.363166,0.9173869
384.3152,3.113722,2.523921,0.9410872
494.797,3.108276,2.6469,0.9659337
613.009,3.064061,2.472919,1.080874
725.4434,2.720607,2.399403,1.109893
815.9279,2.366561,2.258612,1.040576
875.6792,2.204061,2.191355,1.005522
899.2588,2.164414,2.078855,1.039013
885.2778,2.138722,1.839885,1.049048
836.3816,2.09017,1.493308,1.081663
758.7523,1.984021,1.220222,1.108178
656.7008,1.340316,1.249066,1.13685
549.5768,1.325233,1.241961,1.33921
445.7752,1.506379,1.24124,1.479639
351.7806,1.617034,1.14031,1.425373
271.8012,1.537203,1.237619,1.248999
207.1006,1.635489,1.435017,1.087883
155.3254,1.833642,1.558562,1.00989
120.343,1.882851,1.639225,1.005364
95.89451,1.796223,1.650145,0.9490249
79.58538,1.666627,1.549969,0.8836901
69.00302,1.376002,1.462033,0.8027388
62.19597,1.090947,1.512566,0.7910693
57.78687,0.9083995,1.415719,0.8046386
54.67551,0.7685757,1.490546,0.7351295
52.50101,0.4797055,1.547703,0.5369075
50.41248,0.2051439,1.401975,0.2776595
48.37038,0.04496561,1.37192,0.07132332
46.31817,0.2098142,1.256042,0.001244011
44.26556,0.4105748,1.266141,0.1068359
42.32336,0.6395123,1.455579,0.2109529
40.66408,1.145136,1.520529,0.3006524
39.42203,1.737817,1.372097,0.5081325
38.31517,2.138904,1.147837,0.8126588
37.47007,2.013254,1.029554,1.048665
36.87392,1.931974,0.7947993,1.117974
36.50747,1.871525,0.4548241,1.157237
36.40574,1.606129,0.1110257,1.2347
36.5136,1.24329,0.06917936,0.9800577
36.40531,1.041732,0.1480269,0.6999885
36.93016,1.045484,0.3542443,0.6128737
37.57126,1.122296,0.7738249,0.5348374
38.16307,1.301544,1.165682,0.5127587
39.18486,1.532365,1.228384,0.633393
41.47186,1.501071,1.24972,0.8296548
44.62942,1.569327,1.531307,0.9943374
50.62682,1.69456,1.644816,1.005474
60.78485,1.906359,1.584051,1.146854
79.34565,1.784137,1.490332,1.12124
107.3381,1.487802,1.441842,0.9650502
146.9194,1.33138,1.323553,0.8199554
203.6759,1.365687,1.190736,0.7382478
277.2365,1.285343,1.224059,0.5320747
370.4318,1.264631,1.235264,0.1828875
476.7761,1.4459,0.6555022,0.1934385
587.7506,1.522172,0.239259,0.06565692
692.21,1.554027,0.3159335,0.2995368
779.3319,1.752591,0.4365708,0.4575823
840.8302,2.056767,0.6727545,0.6846858
863.0076,2.151397,0.8380837,0.918466
848.5993,2.261219,0.9537683,1.192995
800.936,2.422356,1.13814,1.433832
